text,number,input_seq,target,input_seq_padded
one hundred and six,106,"[1, 100, 0, 6]",106.0,"[1, 100, 0, 6, 0, 0, 0]"
one hundred and seven,107,"[1, 100, 0, 7]",107.0,"[1, 100, 0, 7, 0, 0, 0]"
one hundred and eight,108,"[1, 100, 0, 8]",108.0,"[1, 100, 0, 8, 0, 0, 0]"
one hundred and nine,109,"[1, 100, 0, 9]",109.0,"[1, 100, 0, 9, 0, 0, 0]"
one hundred and ten,110,"[1, 100, 0, 10]",110.0,"[1, 100, 0, 10, 0, 0, 0]"
one hundred and eleven,111,"[1, 100, 0, 11]",111.0,"[1, 100, 0, 11, 0, 0, 0]"
one hundred and twelve,112,"[1, 100, 0, 12]",112.0,"[1, 100, 0, 12, 0, 0, 0]"
one hundred and thirteen,113,"[1, 100, 0, 13]",113.0,"[1, 100, 0, 13, 0, 0, 0]"
one hundred and fourteen,114,"[1, 100, 0, 14]",114.0,"[1, 100, 0, 14, 0, 0, 0]"
one hundred and fifteen,115,"[1, 100, 0, 15]",115.0,"[1, 100, 0, 15, 0, 0, 0]"
one hundred and sixteen,116,"[1, 100, 0, 16]",116.0,"[1, 100, 0, 16, 0, 0, 0]"
one hundred and seventeen,117,"[1, 100, 0, 17]",117.0,"[1, 100, 0, 17, 0, 0, 0]"
one hundred and eighteen,118,"[1, 100, 0, 18]",118.0,"[1, 100, 0, 18, 0, 0, 0]"
one hundred and nineteen,119,"[1, 100, 0, 19]",119.0,"[1, 100, 0, 19, 0, 0, 0]"
one hundred and twenty,120,"[1, 100, 0, 20]",120.0,"[1, 100, 0, 20, 0, 0, 0]"
one hundred and twenty one,121,"[1, 100, 0, 20, 1]",121.0,"[1, 100, 0, 20, 1, 0, 0]"
one hundred and twenty two,122,"[1, 100, 0, 20, 2]",122.0,"[1, 100, 0, 20, 2, 0, 0]"
one hundred and twenty three,123,"[1, 100, 0, 20, 3]",123.0,"[1, 100, 0, 20, 3, 0, 0]"
one hundred and twenty four,124,"[1, 100, 0, 20, 4]",124.0,"[1, 100, 0, 20, 4, 0, 0]"
one hundred and twenty five,125,"[1, 100, 0, 20, 5]",125.0,"[1, 100, 0, 20, 5, 0, 0]"
one hundred and twenty six,126,"[1, 100, 0, 20, 6]",126.0,"[1, 100, 0, 20, 6, 0, 0]"
one hundred and twenty seven,127,"[1, 100, 0, 20, 7]",127.0,"[1, 100, 0, 20, 7, 0, 0]"
one hundred and twenty eight,128,"[1, 100, 0, 20, 8]",128.0,"[1, 100, 0, 20, 8, 0, 0]"
one hundred and twenty nine,129,"[1, 100, 0, 20, 9]",129.0,"[1, 100, 0, 20, 9, 0, 0]"
one hundred and thirty,130,"[1, 100, 0, 30]",130.0,"[1, 100, 0, 30, 0, 0, 0]"
one hundred and thirty one,131,"[1, 100, 0, 30, 1]",131.0,"[1, 100, 0, 30, 1, 0, 0]"
one hundred and thirty two,132,"[1, 100, 0, 30, 2]",132.0,"[1, 100, 0, 30, 2, 0, 0]"
one hundred and thirty three,133,"[1, 100, 0, 30, 3]",133.0,"[1, 100, 0, 30, 3, 0, 0]"
one hundred and thirty four,134,"[1, 100, 0, 30, 4]",134.0,"[1, 100, 0, 30, 4, 0, 0]"
one hundred and thirty five,135,"[1, 100, 0, 30, 5]",135.0,"[1, 100, 0, 30, 5, 0, 0]"
one hundred and thirty six,136,"[1, 100, 0, 30, 6]",136.0,"[1, 100, 0, 30, 6, 0, 0]"
one hundred and thirty seven,137,"[1, 100, 0, 30, 7]",137.0,"[1, 100, 0, 30, 7, 0, 0]"
one hundred and thirty eight,138,"[1, 100, 0, 30, 8]",138.0,"[1, 100, 0, 30, 8, 0, 0]"
one hundred and thirty nine,139,"[1, 100, 0, 30, 9]",139.0,"[1, 100, 0, 30, 9, 0, 0]"
one hundred and forty,140,"[1, 100, 0, 40]",140.0,"[1, 100, 0, 40, 0, 0, 0]"
one hundred and forty one,141,"[1, 100, 0, 40, 1]",141.0,"[1, 100, 0, 40, 1, 0, 0]"
one hundred and forty two,142,"[1, 100, 0, 40, 2]",142.0,"[1, 100, 0, 40, 2, 0, 0]"
one hundred and forty three,143,"[1, 100, 0, 40, 3]",143.0,"[1, 100, 0, 40, 3, 0, 0]"
one hundred and forty four,144,"[1, 100, 0, 40, 4]",144.0,"[1, 100, 0, 40, 4, 0, 0]"
one hundred and forty five,145,"[1, 100, 0, 40, 5]",145.0,"[1, 100, 0, 40, 5, 0, 0]"
one hundred and forty six,146,"[1, 100, 0, 40, 6]",146.0,"[1, 100, 0, 40, 6, 0, 0]"
one hundred and forty seven,147,"[1, 100, 0, 40, 7]",147.0,"[1, 100, 0, 40, 7, 0, 0]"
one hundred and forty eight,148,"[1, 100, 0, 40, 8]",148.0,"[1, 100, 0, 40, 8, 0, 0]"
one hundred and forty nine,149,"[1, 100, 0, 40, 9]",149.0,"[1, 100, 0, 40, 9, 0, 0]"
one hundred and fifty,150,"[1, 100, 0, 50]",150.0,"[1, 100, 0, 50, 0, 0, 0]"
one hundred and fifty one,151,"[1, 100, 0, 50, 1]",151.0,"[1, 100, 0, 50, 1, 0, 0]"
one hundred and fifty two,152,"[1, 100, 0, 50, 2]",152.0,"[1, 100, 0, 50, 2, 0, 0]"
one hundred and fifty three,153,"[1, 100, 0, 50, 3]",153.0,"[1, 100, 0, 50, 3, 0, 0]"
one hundred and fifty four,154,"[1, 100, 0, 50, 4]",154.0,"[1, 100, 0, 50, 4, 0, 0]"
one hundred and fifty five,155,"[1, 100, 0, 50, 5]",155.0,"[1, 100, 0, 50, 5, 0, 0]"
one hundred and fifty six,156,"[1, 100, 0, 50, 6]",156.0,"[1, 100, 0, 50, 6, 0, 0]"
one hundred and fifty seven,157,"[1, 100, 0, 50, 7]",157.0,"[1, 100, 0, 50, 7, 0, 0]"
one hundred and fifty eight,158,"[1, 100, 0, 50, 8]",158.0,"[1, 100, 0, 50, 8, 0, 0]"
one hundred and fifty nine,159,"[1, 100, 0, 50, 9]",159.0,"[1, 100, 0, 50, 9, 0, 0]"
one hundred and sixty,160,"[1, 100, 0, 60]",160.0,"[1, 100, 0, 60, 0, 0, 0]"
one hundred and sixty one,161,"[1, 100, 0, 60, 1]",161.0,"[1, 100, 0, 60, 1, 0, 0]"
one hundred and sixty two,162,"[1, 100, 0, 60, 2]",162.0,"[1, 100, 0, 60, 2, 0, 0]"
one hundred and sixty three,163,"[1, 100, 0, 60, 3]",163.0,"[1, 100, 0, 60, 3, 0, 0]"
one hundred and sixty four,164,"[1, 100, 0, 60, 4]",164.0,"[1, 100, 0, 60, 4, 0, 0]"
one hundred and sixty five,165,"[1, 100, 0, 60, 5]",165.0,"[1, 100, 0, 60, 5, 0, 0]"
one hundred and sixty six,166,"[1, 100, 0, 60, 6]",166.0,"[1, 100, 0, 60, 6, 0, 0]"
one hundred and sixty seven,167,"[1, 100, 0, 60, 7]",167.0,"[1, 100, 0, 60, 7, 0, 0]"
one hundred and sixty eight,168,"[1, 100, 0, 60, 8]",168.0,"[1, 100, 0, 60, 8, 0, 0]"
one hundred and sixty nine,169,"[1, 100, 0, 60, 9]",169.0,"[1, 100, 0, 60, 9, 0, 0]"
one hundred and seventy,170,"[1, 100, 0, 70]",170.0,"[1, 100, 0, 70, 0, 0, 0]"
one hundred and seventy one,171,"[1, 100, 0, 70, 1]",171.0,"[1, 100, 0, 70, 1, 0, 0]"
one hundred and seventy two,172,"[1, 100, 0, 70, 2]",172.0,"[1, 100, 0, 70, 2, 0, 0]"
one hundred and seventy three,173,"[1, 100, 0, 70, 3]",173.0,"[1, 100, 0, 70, 3, 0, 0]"
one hundred and seventy four,174,"[1, 100, 0, 70, 4]",174.0,"[1, 100, 0, 70, 4, 0, 0]"
one hundred and seventy five,175,"[1, 100, 0, 70, 5]",175.0,"[1, 100, 0, 70, 5, 0, 0]"
one hundred and seventy six,176,"[1, 100, 0, 70, 6]",176.0,"[1, 100, 0, 70, 6, 0, 0]"
one hundred and seventy seven,177,"[1, 100, 0, 70, 7]",177.0,"[1, 100, 0, 70, 7, 0, 0]"
one hundred and seventy eight,178,"[1, 100, 0, 70, 8]",178.0,"[1, 100, 0, 70, 8, 0, 0]"
one hundred and seventy nine,179,"[1, 100, 0, 70, 9]",179.0,"[1, 100, 0, 70, 9, 0, 0]"
one hundred and eighty,180,"[1, 100, 0, 80]",180.0,"[1, 100, 0, 80, 0, 0, 0]"
one hundred and eighty one,181,"[1, 100, 0, 80, 1]",181.0,"[1, 100, 0, 80, 1, 0, 0]"
one hundred and eighty two,182,"[1, 100, 0, 80, 2]",182.0,"[1, 100, 0, 80, 2, 0, 0]"
one hundred and eighty three,183,"[1, 100, 0, 80, 3]",183.0,"[1, 100, 0, 80, 3, 0, 0]"
one hundred and eighty four,184,"[1, 100, 0, 80, 4]",184.0,"[1, 100, 0, 80, 4, 0, 0]"
one hundred and eighty five,185,"[1, 100, 0, 80, 5]",185.0,"[1, 100, 0, 80, 5, 0, 0]"
one hundred and eighty six,186,"[1, 100, 0, 80, 6]",186.0,"[1, 100, 0, 80, 6, 0, 0]"
one hundred and eighty seven,187,"[1, 100, 0, 80, 7]",187.0,"[1, 100, 0, 80, 7, 0, 0]"
one hundred and eighty eight,188,"[1, 100, 0, 80, 8]",188.0,"[1, 100, 0, 80, 8, 0, 0]"
one hundred and eighty nine,189,"[1, 100, 0, 80, 9]",189.0,"[1, 100, 0, 80, 9, 0, 0]"
one hundred and ninety,190,"[1, 100, 0, 90]",190.0,"[1, 100, 0, 90, 0, 0, 0]"
one hundred and ninety one,191,"[1, 100, 0, 90, 1]",191.0,"[1, 100, 0, 90, 1, 0, 0]"
one hundred and ninety two,192,"[1, 100, 0, 90, 2]",192.0,"[1, 100, 0, 90, 2, 0, 0]"
one hundred and ninety three,193,"[1, 100, 0, 90, 3]",193.0,"[1, 100, 0, 90, 3, 0, 0]"
one hundred and ninety four,194,"[1, 100, 0, 90, 4]",194.0,"[1, 100, 0, 90, 4, 0, 0]"
one hundred and ninety five,195,"[1, 100, 0, 90, 5]",195.0,"[1, 100, 0, 90, 5, 0, 0]"
one hundred and ninety six,196,"[1, 100, 0, 90, 6]",196.0,"[1, 100, 0, 90, 6, 0, 0]"
one hundred and ninety seven,197,"[1, 100, 0, 90, 7]",197.0,"[1, 100, 0, 90, 7, 0, 0]"
one hundred and ninety eight,198,"[1, 100, 0, 90, 8]",198.0,"[1, 100, 0, 90, 8, 0, 0]"
one hundred and ninety nine,199,"[1, 100, 0, 90, 9]",199.0,"[1, 100, 0, 90, 9, 0, 0]"
two hundred and,200,"[2, 100, 0]",200.0,"[2, 100, 0, 0, 0, 0, 0]"
two hundred and one,201,"[2, 100, 0, 1]",201.0,"[2, 100, 0, 1, 0, 0, 0]"
two hundred and two,202,"[2, 100, 0, 2]",202.0,"[2, 100, 0, 2, 0, 0, 0]"
two hundred and three,203,"[2, 100, 0, 3]",203.0,"[2, 100, 0, 3, 0, 0, 0]"
two hundred and four,204,"[2, 100, 0, 4]",204.0,"[2, 100, 0, 4, 0, 0, 0]"
two hundred and five,205,"[2, 100, 0, 5]",205.0,"[2, 100, 0, 5, 0, 0, 0]"
two hundred and six,206,"[2, 100, 0, 6]",206.0,"[2, 100, 0, 6, 0, 0, 0]"
two hundred and seven,207,"[2, 100, 0, 7]",207.0,"[2, 100, 0, 7, 0, 0, 0]"
two hundred and eight,208,"[2, 100, 0, 8]",208.0,"[2, 100, 0, 8, 0, 0, 0]"
two hundred and nine,209,"[2, 100, 0, 9]",209.0,"[2, 100, 0, 9, 0, 0, 0]"
two hundred and ten,210,"[2, 100, 0, 10]",210.0,"[2, 100, 0, 10, 0, 0, 0]"
two hundred and eleven,211,"[2, 100, 0, 11]",211.0,"[2, 100, 0, 11, 0, 0, 0]"
two hundred and twelve,212,"[2, 100, 0, 12]",212.0,"[2, 100, 0, 12, 0, 0, 0]"
two hundred and thirteen,213,"[2, 100, 0, 13]",213.0,"[2, 100, 0, 13, 0, 0, 0]"
two hundred and fourteen,214,"[2, 100, 0, 14]",214.0,"[2, 100, 0, 14, 0, 0, 0]"
two hundred and fifteen,215,"[2, 100, 0, 15]",215.0,"[2, 100, 0, 15, 0, 0, 0]"
two hundred and sixteen,216,"[2, 100, 0, 16]",216.0,"[2, 100, 0, 16, 0, 0, 0]"
two hundred and seventeen,217,"[2, 100, 0, 17]",217.0,"[2, 100, 0, 17, 0, 0, 0]"
two hundred and eighteen,218,"[2, 100, 0, 18]",218.0,"[2, 100, 0, 18, 0, 0, 0]"
two hundred and nineteen,219,"[2, 100, 0, 19]",219.0,"[2, 100, 0, 19, 0, 0, 0]"
two hundred and twenty,220,"[2, 100, 0, 20]",220.0,"[2, 100, 0, 20, 0, 0, 0]"
two hundred and twenty one,221,"[2, 100, 0, 20, 1]",221.0,"[2, 100, 0, 20, 1, 0, 0]"
two hundred and twenty two,222,"[2, 100, 0, 20, 2]",222.0,"[2, 100, 0, 20, 2, 0, 0]"
two hundred and twenty three,223,"[2, 100, 0, 20, 3]",223.0,"[2, 100, 0, 20, 3, 0, 0]"
two hundred and twenty four,224,"[2, 100, 0, 20, 4]",224.0,"[2, 100, 0, 20, 4, 0, 0]"
two hundred and twenty five,225,"[2, 100, 0, 20, 5]",225.0,"[2, 100, 0, 20, 5, 0, 0]"
two hundred and twenty six,226,"[2, 100, 0, 20, 6]",226.0,"[2, 100, 0, 20, 6, 0, 0]"
two hundred and twenty seven,227,"[2, 100, 0, 20, 7]",227.0,"[2, 100, 0, 20, 7, 0, 0]"
two hundred and twenty eight,228,"[2, 100, 0, 20, 8]",228.0,"[2, 100, 0, 20, 8, 0, 0]"
two hundred and twenty nine,229,"[2, 100, 0, 20, 9]",229.0,"[2, 100, 0, 20, 9, 0, 0]"
two hundred and thirty,230,"[2, 100, 0, 30]",230.0,"[2, 100, 0, 30, 0, 0, 0]"
two hundred and thirty one,231,"[2, 100, 0, 30, 1]",231.0,"[2, 100, 0, 30, 1, 0, 0]"
two hundred and thirty two,232,"[2, 100, 0, 30, 2]",232.0,"[2, 100, 0, 30, 2, 0, 0]"
two hundred and thirty three,233,"[2, 100, 0, 30, 3]",233.0,"[2, 100, 0, 30, 3, 0, 0]"
two hundred and thirty four,234,"[2, 100, 0, 30, 4]",234.0,"[2, 100, 0, 30, 4, 0, 0]"
two hundred and thirty five,235,"[2, 100, 0, 30, 5]",235.0,"[2, 100, 0, 30, 5, 0, 0]"
two hundred and thirty six,236,"[2, 100, 0, 30, 6]",236.0,"[2, 100, 0, 30, 6, 0, 0]"
two hundred and thirty seven,237,"[2, 100, 0, 30, 7]",237.0,"[2, 100, 0, 30, 7, 0, 0]"
two hundred and thirty eight,238,"[2, 100, 0, 30, 8]",238.0,"[2, 100, 0, 30, 8, 0, 0]"
two hundred and thirty nine,239,"[2, 100, 0, 30, 9]",239.0,"[2, 100, 0, 30, 9, 0, 0]"
two hundred and forty,240,"[2, 100, 0, 40]",240.0,"[2, 100, 0, 40, 0, 0, 0]"
two hundred and forty one,241,"[2, 100, 0, 40, 1]",241.0,"[2, 100, 0, 40, 1, 0, 0]"
two hundred and forty two,242,"[2, 100, 0, 40, 2]",242.0,"[2, 100, 0, 40, 2, 0, 0]"
two hundred and forty three,243,"[2, 100, 0, 40, 3]",243.0,"[2, 100, 0, 40, 3, 0, 0]"
two hundred and forty four,244,"[2, 100, 0, 40, 4]",244.0,"[2, 100, 0, 40, 4, 0, 0]"
two hundred and forty five,245,"[2, 100, 0, 40, 5]",245.0,"[2, 100, 0, 40, 5, 0, 0]"
two hundred and forty six,246,"[2, 100, 0, 40, 6]",246.0,"[2, 100, 0, 40, 6, 0, 0]"
two hundred and forty seven,247,"[2, 100, 0, 40, 7]",247.0,"[2, 100, 0, 40, 7, 0, 0]"
two hundred and forty eight,248,"[2, 100, 0, 40, 8]",248.0,"[2, 100, 0, 40, 8, 0, 0]"
two hundred and forty nine,249,"[2, 100, 0, 40, 9]",249.0,"[2, 100, 0, 40, 9, 0, 0]"
two hundred and fifty,250,"[2, 100, 0, 50]",250.0,"[2, 100, 0, 50, 0, 0, 0]"
two hundred and fifty one,251,"[2, 100, 0, 50, 1]",251.0,"[2, 100, 0, 50, 1, 0, 0]"
two hundred and fifty two,252,"[2, 100, 0, 50, 2]",252.0,"[2, 100, 0, 50, 2, 0, 0]"
two hundred and fifty three,253,"[2, 100, 0, 50, 3]",253.0,"[2, 100, 0, 50, 3, 0, 0]"
two hundred and fifty four,254,"[2, 100, 0, 50, 4]",254.0,"[2, 100, 0, 50, 4, 0, 0]"
two hundred and fifty five,255,"[2, 100, 0, 50, 5]",255.0,"[2, 100, 0, 50, 5, 0, 0]"
two hundred and fifty six,256,"[2, 100, 0, 50, 6]",256.0,"[2, 100, 0, 50, 6, 0, 0]"
two hundred and fifty seven,257,"[2, 100, 0, 50, 7]",257.0,"[2, 100, 0, 50, 7, 0, 0]"
two hundred and fifty eight,258,"[2, 100, 0, 50, 8]",258.0,"[2, 100, 0, 50, 8, 0, 0]"
two hundred and fifty nine,259,"[2, 100, 0, 50, 9]",259.0,"[2, 100, 0, 50, 9, 0, 0]"
two hundred and sixty,260,"[2, 100, 0, 60]",260.0,"[2, 100, 0, 60, 0, 0, 0]"
two hundred and sixty one,261,"[2, 100, 0, 60, 1]",261.0,"[2, 100, 0, 60, 1, 0, 0]"
two hundred and sixty two,262,"[2, 100, 0, 60, 2]",262.0,"[2, 100, 0, 60, 2, 0, 0]"
two hundred and sixty three,263,"[2, 100, 0, 60, 3]",263.0,"[2, 100, 0, 60, 3, 0, 0]"
two hundred and sixty four,264,"[2, 100, 0, 60, 4]",264.0,"[2, 100, 0, 60, 4, 0, 0]"
two hundred and sixty five,265,"[2, 100, 0, 60, 5]",265.0,"[2, 100, 0, 60, 5, 0, 0]"
two hundred and sixty six,266,"[2, 100, 0, 60, 6]",266.0,"[2, 100, 0, 60, 6, 0, 0]"
two hundred and sixty seven,267,"[2, 100, 0, 60, 7]",267.0,"[2, 100, 0, 60, 7, 0, 0]"
two hundred and sixty eight,268,"[2, 100, 0, 60, 8]",268.0,"[2, 100, 0, 60, 8, 0, 0]"
two hundred and sixty nine,269,"[2, 100, 0, 60, 9]",269.0,"[2, 100, 0, 60, 9, 0, 0]"
two hundred and seventy,270,"[2, 100, 0, 70]",270.0,"[2, 100, 0, 70, 0, 0, 0]"
two hundred and seventy one,271,"[2, 100, 0, 70, 1]",271.0,"[2, 100, 0, 70, 1, 0, 0]"
two hundred and seventy two,272,"[2, 100, 0, 70, 2]",272.0,"[2, 100, 0, 70, 2, 0, 0]"
two hundred and seventy three,273,"[2, 100, 0, 70, 3]",273.0,"[2, 100, 0, 70, 3, 0, 0]"
two hundred and seventy four,274,"[2, 100, 0, 70, 4]",274.0,"[2, 100, 0, 70, 4, 0, 0]"
two hundred and seventy five,275,"[2, 100, 0, 70, 5]",275.0,"[2, 100, 0, 70, 5, 0, 0]"
